X	Y	OBJECTID	source	ext_id	cat1	cat2	cat3	org_name	Name	addrln1	addrln2	city	state	hours	phones	email	url	info1	info2	post_id	description	zip	link	use_type	latitude	longitude	date_updated	dis_status	POINT_X	POINT_Y
-118.2467481	34.04230597	97627400	211		Social Services	Homeless Shelters and Services		www.lampcommunity.org	Lamp Community - Frank Rice Access Center	627 San Julian St.		Los Angeles	CA	"Monday through Friday, 8:00am to 4:00pm. "	"Administrative (213) 488-9559,  Service/Intake (213) 488-0031"		www.lampcommunity.org			2023	"The agency provides homeless support services and shelter for adults who have chronic mental illness and who are in Skid Row and downtown Los Angeles, including people who are undocumented or who have developmental disabilities or a dual diagnosis of mental illness and substance abuse."	90014	http://egis3.lacounty.gov/lms/?p=2023	publish	34.042306	-118.246748	2013-06-01T11:50:56.000Z		6486918.56	1837868.107
-118.0335875	33.97583804	97627593	211		Social Services	Homeless Shelters and Services		NULL	Women's And Children's Crisis Shelter	13305 Penn St		Whittier	CA	"Monday through Sunday, 24 hours per day. "	"Administrative (562) 945-3937,  Service/Intake and Hotline (562) 945-3939"					2460	The agency provides domestic violence services for low-income victims of intimate partner domestic violence and their children from all areas of Los Angeles County.	90602	http://egis3.lacounty.gov/lms/?p=2460	publish	33.97583807	-118.0335874	2013-06-01T11:50:56.000Z		6551487.008	1813589.031
-118.141948	34.15745399	97628513	Current Services Locator		Social Services	Homeless Shelters and Services		LA County	Door Of Hope	669 N. Los Robles Ave.		Pasadena	CA	"Monday through Sunday, 24 hours per day."			www.doorofhope.us			4100	The Agency Provides Christian-Oriented Transitional Housing For Two-Parent Families With Up To Four Children 10 Years And Younger.  Families Must Be Highly-Motivated To Improve Their Situation And To Become Self-Sufficient.  There Are No Geographic Restr	91101	http://egis3.lacounty.gov/lms/?p=4100	publish	34.15745402	-118.1419479	2010-11-01T19:50:56.000Z		6518726.668	1879711.209
-118.1865447	34.02106888	97628515	Current Services Locator		Social Services	Homeless Shelters and Services		LA County	Scadp - Casa Libre Residential Services	1055 S. Eastman Ave.		Los Angeles	CA				www.scadp.org			4102	"The Agency Provides Domestic Violence Services Targeted To Tanf Recipients, Hiv/Aids. Services, Residential Treatment For Substance Abuse,Substance Abuse Services And Youth Services For People Of All Ages In Los Angeles County."	90023	http://egis3.lacounty.gov/lms/?p=4102	publish	34.02106891	-118.1865446	2010-11-01T19:50:56.000Z		6505142.682	1830100.213
-118.2880818	33.73937841	97628516	Current Services Locator		Social Services	Homeless Shelters and Services		LA County	Wecan House	505 S. Pacific Ave.		San Pedro	CA				www.jointefforts.org			4103	"The Agency Provides Drug Abuse Services, Family Life Education, A Transitional Shelter, And Welfare-To-Work Support Services To People In The South Bay, Harbor Gateway And Long Beach Areas.  Age And Geographic Restrictions Apply For Some Services."	90731	http://egis3.lacounty.gov/lms/?p=4103	publish	33.73937844	-118.2880817	2010-11-01T19:50:56.000Z		6474080.689	1727659.225
-118.1246491	34.14985046	97628520	Current Services Locator		Social Services	Homeless Shelters and Services		LA County	"Serra Project, The"	1245 E. Walnut St.	Ste. 106	Pasadena	CA				www.serraproject.org			4107	The Agency Provides Housing Services And Transitional Shelter For Men And Women With Children Who Have Aids. Or Are Hiv Positive In Los Angeles County.	91106	http://egis3.lacounty.gov/lms/?p=4107	publish	34.14985049	-118.124649	2010-11-01T19:50:56.000Z		6523956.689	1876937.208
-118.1927357	33.89643596	97628525	Current Services Locator		Social Services	Homeless Shelters and Services		LA County	Homeless Shelter For Women And Children	4513 E. Compton Blvd.		Compton	CA	"Monday through Thursday, 8:00am to 12:00 noon"			www.cwroshelter.org			4150	The Agency Provides Shelter For Homeless Single Women And Women With Children Who Are In Los Angeles County.  The Shelter May Assist Women Who Have Mental/Emotional Problems; The Shelter Is Also Accessible For Women Who Use Wheelchairs.	90221	http://egis3.lacounty.gov/lms/?p=4150	publish	33.89643599	-118.1927356	2010-11-01T19:50:56.000Z		6503179.691	1784747.22
-118.1361	34.16927382	97628526	Current Services Locator		Social Services	Homeless Shelters and Services		LA County	Urdc Human Services Corporation - Casa Maria	691 E. Washington Blvd.		Pasadena	CA				www.urdchsc.org			4151	The Agency Provides Shelter For Homeless Women Age 18 And Older Who Have A History Of Substance Abuse And Who Are In Pasadena.	91104	http://egis3.lacounty.gov/lms/?p=4151	publish	34.16927385	-118.1360999	2010-11-01T19:50:56.000Z		6520501.693	1884010.21
-118.493773	34.02738889	97628527	Current Services Locator		Social Services	Homeless Shelters and Services		LA County	Upward Bound - Family Place	1020 12Th St.		Santa Monica	CA				www.upwardboundhouse.org			4152	The Agency Provides Transitional Shelter For Homeless Families With Children In West Los Angeles County.  Services Are Restricted To Santa Monica And West Los Angeles Residents.	90403	http://egis3.lacounty.gov/lms/?p=4152	publish	34.02738892	-118.4937729	2010-11-01T19:50:56.000Z		6412056.69	1832715.21
-117.7727742	34.05114325	97628528	Current Services Locator		Social Services	Homeless Shelters and Services		LA County	Foothill Family Shelter	1501 W. 9Th St.	Ste. D	Upland	CA	"Monday through Sunday, 9:00am to 6:00pm."			www.foothillfamilyshelter.org			4153	The Agency Provides Transitional Shelter For Homeless Families With Children.  It Is Not An Emergency Shelter.	91786	http://egis3.lacounty.gov/lms/?p=4153	publish	34.05114328	-117.7727741	2010-11-01T19:50:56.000Z		6630500.66	1841070.221
-118.2657895	34.05753851	97628529	Current Services Locator		Social Services	Homeless Shelters and Services		LA County	La Posada	375 S. Columbia Ave.		Los Angeles	CA	Window Service Hours			www.neweconomicsforwomen.org			4154	The Agency Provides Transitional Shelter For Single Women With A Child Or Pregnant With Their First Child.	90017	http://egis3.lacounty.gov/lms/?p=4154	publish	34.05753854	-118.2657894	2010-11-01T19:50:56.000Z		6481164.681	1843426.212
-118.1941279	33.78338878	97678094	211		Social Services	Homeless Shelters and Services		www.lbrm.org	Long Beach Rescue Mission	1335 Pacific Ave		Long Beach	CA	"Monday through Sunday, 24 hours per day. "	"Service/Intake and Administration (562) 591-1292, Long Beach Multi-Service Center Service/Intake (562) 733-1147,  FAX (562) 216-7667"		www.lbrm.org			56479	"The agency provides emergency food, shelter, clothing, counsel, spiritually-based adult rehabilitation transitional housing programs."	90813	http://egis3.lacounty.gov/lms/?p=56479	publish	33.78338881	-118.1941278	2013-06-01T11:50:56.000Z		6502677.74	1743607.335
-118.4880891	34.01387597	97678128	211		Social Services	Homeless Shelters and Services		www.opcc.org	Ocean Park Community Center - Access Center	503 Olympic Blvd.		Santa Monica	CA	"Monday, Wednesday, Thursday, and Friday, 9:00am to 5:00pm; Tuesday, 1:00pm to 5:00pm; and Saturday, 9:00am to 11:00am. "	"Volunteer Coordinator Administrative (310) 450-4050 Ext.131, Shelter Referral Service/Intake (310) 450-4050"		www.opcc.org			56594	"The agency administers a variety of services including counseling, clothing, emergency food, homeless support services, shelter and volunteer opportunities for people who live in the Santa Monica and West Los Angeles areas."	90401	http://egis3.lacounty.gov/lms/?p=56594	publish	34.013876	-118.488089	2013-06-01T11:50:56.000Z		6413755.025	1827789.233
-118.4890911	34.01365397	97678133	211		Social Services	Homeless Shelters and Services		www.opcc.org	Ocean Park Community Center - Samoshel	505 Olympic Blvd.		Santa Monica	CA	"Monday through Sunday, 24 hours per day. "	"Shelter Referral Service/Intake (310) 450-4050, Homeless Support Svcs Info Service/Intake (310) 581-9825"		www.opcc.org			56595	"The agency administers a variety of services including counseling, clothing, emergency food, homeless support services, shelter and volunteer opportunities for people who live in the Santa Monica and West Los Angeles areas."	90401	http://egis3.lacounty.gov/lms/?p=56595	publish	34.013654	-118.489091	2013-06-01T11:50:56.000Z		6413450.978	1827709.92
-118.6008591	34.19726197	97678218	211		Social Services	Homeless Shelters and Services		NULL	Catholic Charities Of Los Angeles - Guadalupe Community Center	21600 Hart St.		Canoga Park	CA	"Monday through Friday, 9:00am to 8:30pm. "	"Service/Intake and Administration (818) 340-2050, Older Adults services Service/Intake (818) 340-5100"					56642	"The agency is a community center which provides adult education, early childhood education, emergency food (through its Loaves and Fishes IV program), employment services for refugees, holiday assistance, youth recreation programs and senior programs for people in a specific area of the San Fernando Valley."	91303	http://egis3.lacounty.gov/lms/?p=56642	publish	34.197262	-118.600859	2013-06-01T11:50:56.000Z		6379979.392	1894710.774
-118.2566702	33.93814529	97678364	211		Social Services	Homeless Shelters and Services		www.wlcac.org	Watts Labor Community Action Committee - Homeless Access Center	958 E 108Th St		Los Angeles	CA		Access Center and Shelter Service/Intake (323) 563-4721		www.wlcac.org			56802	"The agency provides a homeless support services access center and shelter services, primarily for families who live in Los Angeles zip code 90059."	90059	http://egis3.lacounty.gov/lms/?p=56802	publish	33.93814532	-118.2566701	2013-06-01T11:50:56.000Z		6483815.897	1799969.52
-118.2225901	34.05204797	97678368	211		Social Services	Homeless Shelters and Services		www.jovenesinc.org	Jovenes Inc - La Posada Shelter	1320 Pleasant Ave.		Los Angeles	CA	"Monday through Sunday, 24 hours per day. "	Service/Intake (323) 260-8035		www.jovenesinc.org			56804	The agency provides a multipurpose center which offers a variety of services for people who are in the Los Angeles area.	90033	http://egis3.lacounty.gov/lms/?p=56804	publish	34.052048	-118.22259	2013-06-01T11:50:56.000Z		6494245.012	1841396.316
-118.4783221	33.99808597	97678384	211		Social Services	Homeless Shelters and Services		www.stjosephctr.org	St. Joseph Center	204 Hampton Dr.		Venice	CA	"Monday through Friday, 9:00am to 5:00pm. "	"Homeless Service Center Information Only (310) 399-6878, MAP Program Service/Intake (310) 396-6556,  Service/Intake and Administration (310) 396-6468,  FAX (310) 392-8402, Culinary Training Service/Intake (310) 450-9095,  Service/Intake (310) 396-6468 Ext"		www.stjosephctr.org			56820	The agency provides a variety of emergency and ongoing programs to assist low-income and homeless individuals and families in the West Los Angeles area.	90291	http://egis3.lacounty.gov/lms/?p=56820	publish	33.998086	-118.478322	2013-06-01T11:50:56.000Z		6416687.546	1822028.767
-118.4664301	34.00082297	97678388	211		Social Services	Homeless Shelters and Services		www.stjosephctr.org	St. Joseph Center - Homeless Service Center	404 S. Lincoln Blvd.		Venice	CA		Homeless Program Service/Intake (310) 399-6878		www.stjosephctr.org			56823	The agency provides a variety of emergency and ongoing programs to assist low-income and homeless individuals and families in the West Los Angeles area.	90291	http://egis3.lacounty.gov/lms/?p=56823	publish	34.000823	-118.46643	2013-06-01T11:50:56.000Z		6420296.691	1823007.868
-118.2914241	33.73503097	97678460	211		Social Services	Homeless Shelters and Services		www.harborinterfaith.org	Harbor Interfaith Family Shelter Program	663 W. 10th St.		San Pedro	CA	"Monday through Sunday, 24 hours per day. "	Shelter Service/Intake (310) 831-0589		www.harborinterfaith.org			56892	"The agency provides advocacy services, emergency food, employment services, information and referral and shelter for people who live in the South Bay area."	90731	http://egis3.lacounty.gov/lms/?p=56892	publish	33.735031	-118.291424	2013-06-01T11:50:56.000Z		6473059.896	1726079.995
-118.4946611	34.01104097	97678532	211		Social Services	Homeless Shelters and Services		www.opcc.net	Daybreak Center	1614 Ocean Ave.		Santa Monica	CA		"Service/Intake (310) 393-4344, Volunteer Coordinator Service/Intake (310) 393-6045"		www.opcc.net			56930	"The agency provides advocacy, emergency food, holiday assistance, homeless support services, mental health services for mentally ill women, shelter and volunteer opportunities primarily in West Los Angeles and Santa Monica area."	90401	http://egis3.lacounty.gov/lms/?p=56930	publish	34.011041	-118.494661	2013-06-01T11:50:56.000Z		6411758.32	1826767.268
-118.1486491	34.13874897	97678579	211		Social Services	Homeless Shelters and Services		www.unionstationhs.org	Union Station - Adult Center	412 Raymond Ave.		Pasadena	CA	"Monday through Sunday, 24 hours per day. "	Service/Intake and Administration (626) 240-4550		www.unionstationhs.org			56960	"The agency provides alcohol abuse services, emergency food, holiday assistance, homeless support services, information and referral, mental health services, personal enrichment and shelter for low-income and homeless people in the Pasadena area."	91105	http://egis3.lacounty.gov/lms/?p=56960	publish	34.138749	-118.148649	2013-06-01T11:50:56.000Z		6516689.312	1872907.049
-118.1334241	34.15795997	97678581	211		Social Services	Homeless Shelters and Services		www.unionstationhs.org	Union Station Family Center	825 E. Orange Grove Blvd.		Pasadena	CA	"Monday through Sunday, 24 hours per day. "	Service/Intake and Administration (626) 240-4550		www.unionstationhs.org			56961	"The agency provides alcohol abuse services, emergency food, holiday assistance, homeless support services, information and referral, mental health services, personal enrichment and shelter for low-income and homeless people in the Pasadena area."	91104	http://egis3.lacounty.gov/lms/?p=56961	publish	34.15796	-118.133424	2013-06-01T11:50:56.000Z		6521305.656	1879891.812
-118.1467966	34.12833254	97678582	211		Social Services	Homeless Shelters and Services		www.unionstationhs.org	Union Station's Shelter Intake - Passageways	1020 S Arroyo Pkwy		Pasadena	CA		Shelter Intake/Referral Service/Intake (626) 403-4888		www.unionstationhs.org			56962	"The agency provides alcohol abuse services, emergency food, holiday assistance, homeless support services, information and referral, mental health services, personal enrichment and shelter for low-income and homeless people in the Pasadena area."	91105	http://egis3.lacounty.gov/lms/?p=56962	publish	34.12833257	-118.1467965	2013-06-01T11:50:56.000Z		6517244.34	1869115.499
-118.2230821	34.04663197	97678631	211		Social Services	Homeless Shelters and Services		www.proyectopastoral.org	Guadalupe Homeless Project/Cem	171 S. Gless St.		Los Angeles	CA	"Monday through Sunday, 2:00pm to 5:00am. "	"Men's Shelter Service/Intake (323) 881-0031, Community in Action/CEM Service/Intake (323) 881-0032"		www.proyectopastoral.org			57005	"The agency provides business services, child care, community services, homeless support services, shelter for homeless, volunteer opportunities and youth services to low-income people in the Spanish-speaking community of East Los Angeles."	90033	http://egis3.lacounty.gov/lms/?p=57005	publish	34.046632	-118.223082	2013-06-01T11:50:56.000Z		6494091.605	1839425.664
-118.2278711	34.04887097	97678635	211		Social Services	Homeless Shelters and Services		www.proyectopastoral.org	Proyecto Pastoral At Dolores Mission	135 N. Mission Rd.		Los Angeles	CA		"Thrift Store Service/Intake (323) 881-0017, Community In Action/CEM Service/Intake (323) 881-0019,  Service/Intake and Administration (323) 881-0018,  FAX (323) 268-7228"		www.proyectopastoral.org			57006	"The agency provides business services, child care, community services, homeless support services, shelter for homeless, volunteer opportunities and youth services to low-income people in the Spanish-speaking community of East Los Angeles."	90033	http://egis3.lacounty.gov/lms/?p=57006	publish	34.048871	-118.227871	2013-06-01T11:50:56.000Z		6492642.712	1840243.732
-118.3012051	34.09826397	97678705	211		Social Services	Homeless Shelters and Services		NULL	Hope Again	5121 Sunset Blvd.		Los Angeles	CA		"FAX (323) 661-6172,  Service/Intake and Administration (323) 661-4004"					57051	The agency provides case management and shelter for people in Los Angeles County.	90027	http://egis3.lacounty.gov/lms/?p=57051	publish	34.098264	-118.301205	2013-06-01T11:50:56.000Z		6470481.997	1858277.17
-118.4692991	34.23202197	97678838	211		Social Services	Homeless Shelters and Services		www.nvcsinc.org	North Valley Caring Services Inc	15453 Rayen St.		North Hills	CA	"Monday through Friday, 8:00am to 5:00pm. "	"Service/Intake (818) 891-0481,  FAX (818) 830-2007"		www.nvcsinc.org			57148	"The agency provides education services, emergency food, holiday assistance, homeless support services and recreational programs for people who live in North Hills."	91343	http://egis3.lacounty.gov/lms/?p=57148	publish	34.232022	-118.469299	2013-06-01T11:50:56.000Z		6419819.933	1907148.66
-118.2448581	34.04311397	97678886	211		Social Services	Homeless Shelters and Services		www.urm.org	Union Rescue Mission	545 S. San Pedro St.		Los Angeles	CA	"Monday through Sunday, 24 hours per day. "	"Service/Intake and Administration (213) 347-6300, Volunteer Opportunities Service/Intake (213) 347-6300 Ext.1149, Other donations Service/Intake (213) 347-6300 Ext.1023,  FAX (213) 612-0260, Vehicle donations Service/Intake (800) 833-0078"		www.urm.org			57174	The agency provides Christian-oriented social services for people of all ages in the Skid Row area of downtown Los Angeles.	90013	http://egis3.lacounty.gov/lms/?p=57174	publish	34.043114	-118.244858	2013-06-01T11:50:56.000Z		6487491.847	1838160.753
-118.0285691	34.14396297	97678893	211		Social Services	Homeless Shelters and Services		NULL	Arcadia Welfare And Thrift Shop	323 N. First St.		Arcadia	CA	"Monday through Friday, 9:00am to 4:30pm "	"Thrift Shop Service/Intake (626) 447-2881,  Service/Intake (626) 447-6864"					57177	"The agency provides emergency food, financial assistance, household goods, motel vouchers, personal goods and thrift shops for people in Arcadia, including people who are homeless."	91006	http://egis3.lacounty.gov/lms/?p=57177	publish	34.143963	-118.028569	2013-06-01T11:50:56.000Z		6553025.917	1874772.489
-118.2431051	34.04351197	97678900	211		Social Services	Homeless Shelters and Services		NULL	Emmanuel Baptist Rescue Mission	530 E. Fifth St.		Los Angeles	CA	"Monday through Sunday, 24 hours per day. "	Service/Intake and Administration (213) 626-4681		NULL			57178	"The agency provides emergency food, holiday assistance and shelter for homeless men in the Skid Row area of downtown Los Angeles."	90013	http://egis3.lacounty.gov/lms/?p=57178	publish	34.043512	-118.243105	2013-06-01T11:50:56.000Z		6488023.258	1838304.303
-118.3451061	33.89452297	97678905	211		Social Services	Homeless Shelters and Services		www.hoy-southbay.org	House Of Yahweh	4046 W. Marine Ave.		Lawndale	CA	"Monday through Saturday, 9:00am to 3:30pm. "	"Thrift Shop Service/Intake (310) 644-9301,  Administrative (310) 675-1384, Shelter or Food Intake Service/Intake (310) 675-6412"					57180	"The agency provides emergency food, homeless support services, personal goods, shelter and thrift shops for individuals and families who are in crisis and who live in the South Bay and Southwest areas of Los Angeles County."	90260	http://egis3.lacounty.gov/lms/?p=57180	publish	33.894523	-118.345106	2013-06-01T11:50:56.000Z		6456936.674	1784174.751
-118.3880561	34.21335497	97678950	211		Social Services	Homeless Shelters and Services		www.lafh.org/	L A Family Housing Corporation	7843 Lankershim Blvd.		North Hollywood	CA	"Monday through Friday, 8:30am to 5:00pm. "	"Service/Intake and Administration (818) 982-4091,  FAX (818) 982-3895"		www.lafh.org/			57219	"The agency provides consumer assistance, employment services, homeless support services, shelter and volunteer opportunities for people in the San Fernando Valley and in East Los Angeles."	91605	http://egis3.lacounty.gov/lms/?p=57219	publish	34.213355	-118.388056	2013-06-01T11:50:56.000Z		6444350.095	1900250.726
-118.2869241	33.73768497	97679005	211		Social Services	Homeless Shelters and Services		www.rainbowservicesdv.org	"Rainbow Services, Ltd."	453 W. 7th St.		San Pedro	CA	"Monday through Sunday, 24 hours per day. "	"FAX (310) 548-0611, Service Center Service/Intake and Administration (310) 548-5450, 24 Hours Service/Intake and Hotline (310) 547-9343"		www.rainbowservicesdv.org			57269	The agency provides domestic violence services and shelter for individuals of all ages in Los Angeles County.	90731	http://egis3.lacounty.gov/lms/?p=57269	publish	33.737685	-118.286924	2013-06-01T11:50:56.000Z		6474430.92	1727041.926
-118.1375461	34.70308097	97679031	211		Social Services	Homeless Shelters and Services		valleyoasis.org	Antelope Valley Domestic Violence Council - Homeless Solutions Access Center	45134 N. Sierra Hwy.		Lancaster	CA	"Wednesday, by appointment only.  Monday, Tuesday, Thursday, Friday, 2:00pm to 5:00pm, by appointment only. "	"Homeless Solutions Access Center Service/Intake (661) 942-2758,  FAX (661) 942-2079"		valleyoasis.org			57287	"The agency provides domestic violence services, homeless support services, shelter and thrift shops for people of all ages in Los Angeles County."	93534	http://egis3.lacounty.gov/lms/?p=57287	publish	34.703081	-118.137546	2013-06-01T11:50:56.000Z		6520330.083	2078274.888
-118.2403891	34.04404897	97679054	211		Social Services	Homeless Shelters and Services		NULL	Los Angeles Centers For Alcohol And Drug Abuse - Homeless Outreach Project	612 E. 4th St.		Los Angeles	CA		Service/Intake (213) 626-6411		NULL			57298	"The agency provides domestic violence services, HIV/AIDS services, residential treatment for drug abuse services, and substance abuse services for adults and adolescents."	90013	http://egis3.lacounty.gov/lms/?p=57298	publish	34.044049	-118.240389	2013-06-01T11:50:56.000Z		6488846.519	1838497.749
-118.2880825	33.73937768	97679144	211		Social Services	Homeless Shelters and Services		www.jointefforts.org	Joint Efforts Inc	505 S Pacific Ave		San Pedro	CA		"FAX (310) 831-2356,  TDD (310) 831-6948,  Service/Intake and Administration (310) 831-2358"		www.jointefforts.org			57357	"The agency provides substance abuse services to people in the South Bay, Harbor Gateway and Long Beach areas."	90731	http://egis3.lacounty.gov/lms/?p=57357	publish	33.73937771	-118.2880824	2013-06-01T11:50:56.000Z		6474080.475	1727658.96
-118.1373111	34.702937	97679199	211		Social Services	Homeless Shelters and Services		www.graceresources.org	Grace Resources Inc	45134 Sierra Hwy		Lancaster	CA	"Monday through Friday, 9:00am to 5:00pm. "	"FAX (661) 940-5274,  Service/Intake (661) 940-5272"		www.graceresources.org			57403	"The agency provides education services, emergency food, holiday assistance, personal goods and a thrift shop for people who live in the Antelope Valley, including people who are homeless and undocumented."	93534	http://egis3.lacounty.gov/lms/?p=57403	publish	34.70293703	-118.137311	2013-06-01T11:50:56.000Z		6520400.642	2078222.396
-118.0911401	34.07490297	97679228	211		Social Services	Homeless Shelters and Services		NULL	St. Anthony's Christian Service	1901 S. San Gabriel Blvd.		San Gabriel	CA	"Monday through Friday, 9:00am to 12:00pm and 1:00pm to 7:30pm; Saturday, 9:00am to 12:00pm; Sunday, 9:00am to 12:00pm and 1:00pm to 2:30pm. "	Service/Intake and Administration (626) 288-8912					57430	The agency provides emergency food and holiday assistance to people who live within the parish boundaries which are Valley Blvd.	91776	http://egis3.lacounty.gov/lms/?p=57430	publish	34.074903	-118.09114	2013-06-01T11:50:56.000Z		6534070.396	1849651.55
